,Indicator,Province,Value,year,month
711,Tourists Number (Overnight Visitors),Tabuk,158157.0,2022,06
712,Tourists Number (Overnight Visitors),Tabuk,134512.0,2022,12
713,Tourists Number (Overnight Visitors),Total,4375914.0,2021,02
714,Tourists Number (Overnight Visitors),Total,6204755.0,2022,03
715,Tourists Number (Overnight Visitors),Total,6727912.0,2021,05
716,Tourists Number (Overnight Visitors),Total,5002991.0,2023,05
717,Tourists Number (Overnight Visitors),Total,10795554.0,2022,07
718,Tourists Number (Overnight Visitors),Total,5482250.0,2021,08
719,Tourists Number (Overnight Visitors),Total,6985948.0,2023,08
720,Tourists Number (Overnight Visitors),Total,7003149.0,2022,11
721,Tourists Number (Overnight Visitors),Total,4350255.0,2022,12
722,Tourists Spending (SAR),Al Bahah,40889284.55,2021,02
723,Tourists Spending (SAR),Al Bahah,90482742.81,2023,04
724,Tourists Spending (SAR),Al Bahah,208515699.42,2021,05
725,Tourists Spending (SAR),Al Bahah,416487508.36,2022,07
726,Tourists Spending (SAR),Al Bahah,54266418.0,2021,09
727,Tourists Spending (SAR),Al Bahah,52442867.93,2023,09
728,Tourists Spending (SAR),Al Bahah,72448934.08,2021,10
729,Tourists Spending (SAR),AlQassim,340394915.94,2022,05
730,Tourists Spending (SAR),AlQassim,371096227.14,2022,08
731,Tourists Spending (SAR),Aseer,575188825.54,2022,01
732,Tourists Spending (SAR),Aseer,294100817.86,2022,03
733,Tourists Spending (SAR),Aseer,906488719.52,2021,06
734,Tourists Spending (SAR),Aseer,711899089.45,2023,08
735,Tourists Spending (SAR),Aseer,296775351.03,2022,10
736,Tourists Spending (SAR),Eastern Province,1300083605.87,2021,03
737,Tourists Spending (SAR),Eastern Province,978286565.33,2022,03
738,Tourists Spending (SAR),Eastern Province,1511213106.47,2023,07
739,Tourists Spending (SAR),Eastern Province,1652264468.18,2023,11
740,Tourists Spending (SAR),Eastern Province,1012174615.43,2021,12
741,Tourists Spending (SAR),Eastern Province,651402062.48,2022,12
742,Tourists Spending (SAR),Hail,236169291.74,2021,01
743,Tourists Spending (SAR),Hail,167936594.73,2021,02
744,Tourists Spending (SAR),Hail,255884048.22,2023,11
745,Tourists Spending (SAR),Jazan,297658226.25,2023,01
746,Tourists Spending (SAR),Jazan,207199485.9,2023,02
747,Tourists Spending (SAR),Jazan,189140119.98,2022,04
